event_date, interface_type, app_version, num_visit, num_search, num_product_viewed, num_add_to_cart, num_checkout, num_payment_selected, num_booking_created, num_session_visit, num_session_search, num_session_product_viewed, num_session_add_to_cart, num_session_checkout, num_session_payment_selected, num_session_booking_created
2019-02-27,IOS,2.7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.7.2,0,0,0,0,0,0,0,757,457,152,186,21,15,9
2019-02-27,IOS,2.8.0,0,0,0,0,0,0,0,559,334,67,46,9,8,5
2019-02-27,IOS,2.8.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-27,IOS,2.9.0.Debug,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,1.10.0,31,12,1,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,1.9.0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.0.0,8,6,1,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.0.1,4,2,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.0.2,40,29,8,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.1.0,8,5,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.1.1,18,17,5,3,1,1,1,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.2.0,13,9,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.3.0,18,20,2,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.3.1,16,15,3,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.4.0,40,37,16,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.5.0,23,12,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-02-28,ANDROID,2.5.2,34,34,12,3,0,0,0,0,0,0,0,0,0,0
